timestamp (s),battery_voltage (V),thrust,source_file
257.31,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
257.41,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
257.51,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
257.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
257.71,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
257.81,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
257.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.01,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.11,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.21,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.31,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.41,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.51,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.71,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.81,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
258.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.01,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.11,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.21,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.31,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.41,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.51,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.71,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.81,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
259.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.01,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.11,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.21,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.31,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
260.41,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.51,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.71,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
260.81,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
260.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.01,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.11,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
261.21,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.31,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.41,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.51,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
261.71,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
261.81,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
261.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
262.01,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
262.11,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
262.21,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
262.31,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
262.41,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
262.51,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
262.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
262.71,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
262.81,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
262.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
263.01,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
263.11,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
263.21,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
263.31,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
263.41,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
263.51,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
263.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
263.71,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
263.81,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
263.91,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
264.01,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
264.11,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
264.21,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
264.31,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
264.41,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
264.51,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
264.61,3.74252200126648,0,battery_thrust_test_32000_20250702_144915.csv
264.71,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
264.81,3.747800588607788,0,battery_thrust_test_32000_20250702_144915.csv
